"Математика и информатика" 
Първи курс
А 	1 	0 	4 	Линейна алгебра 	I 	7,5 	3+3+0
Г 	1 	0 	4 	Аналитична геометрия 	I 	7,5 	3+3+0
Б 	1 	0 	4 	Диференциално и интегрално смятане I 	I 	10 	4+4+0
Ж 	1 	0 	4 	Компютърни системи и технологии 	I 	5 	2+0+2
А 	1 	3 	4 	Висша алгебра 	II 	7 	3+3+0
Б 	1 	1 	4 	Диференциално и интегрално смятане II 	II 	10 	4+4+0
Ж 	1 	1 	4 	Увод в програмирането 	II 	10 	4+0+4
Й 	1 	0 	4 	Английски език 	II 	3 	0+4+0
Втори курс
И 	2 	1 	4 	Дискретна математика и алгоритми 	III 	7,5 	3+3+0
Ж 	2 	2 	4 	Структури от данни и програмиране 	III 	10 	4+0+4
Л 	2 	0 	4 	Училищен курс по алгебра и анализ 	III 	9 	3+4+0
Г 	2 	3 	4 	Геометрия 	IV 	10 	4+4+0
Й 	2 	4 	4 	Педагогика 	IV 	5 	2+2+0
Й 	2 	5 	4 	Психология 	IV 	3,5 	3+0+0
Ж 	2 	4 	4 	Компютърни мрежи (CISCO) – практикум 	IV 	2,5 	0+0+2
Трети курс
В 	3 	0 	4 	Увод във вероятностите и математическата статистика 	V 	5 	2+2+0
А 	3 	7 	4 	Теория на числата 	V 	5 	2+2+0
Ж 	3 	5 	4 	Езици и среди за обучение 	V 	7 	2+0+4
Л 	3 	1 	4 	Училищен курс по геометрия 	V 	8 	3+4+0
Ж 	3 	3 	4 	Аудио-визуални и информационни технологии в обучението 	VI 	5 	2+0+2
Е 	3 	9 	4 	Информационни системи (бази от данни) 	VI 	5 	2+0+2
Л 	3 	4 	4 	Методика на обучението по математика – I (Обща методика) 	VI 	5 	2+2+0
Л 	3 	2 	4 	Училищен курс по информатика 	VI 	5 	2+2+0
Четвърти курс
Л 	4 	4 	4 	Методика на обучението по математика – II с хоспетиране 	VII 	7,5 	2+2+2
Л 	4 	0 	4 	Практикум по математика 	VII 	3,5 	0+3+0
Л 	4 	3 	4 	Училищен курс по информационни технологии 	VII 	5 	2+2+0
Л 	4 	5 	4 	Методика на обучението по информатика и ИТ с хоспетиране 	VII 	5 	2+1+1
